regio_level,Vuosi,aluekoodi,aluenimi,kuntanimi,kuntanro,variable,value,hyvinvointialue_code,hyvinvointialue_name_fi
Postinumeroalueet,2022-2024,p00210,Vattuniemi (Helsinki),Helsinki,91,Työttömät (med.),71.96971290376499,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00210,Vattuniemi (Helsinki),Helsinki,91,Kokonaislukema (med.),57.597640730492664,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00220,Jätkäsaari (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),68.3222142551511,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00220,Jätkäsaari (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),79.30050397941892,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00220,Jätkäsaari (Helsinki),Helsinki,91,Työttömät (med.),109.4640035182301,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00220,Jätkäsaari (Helsinki),Helsinki,91,Kokonaislukema (med.),85.69557391760004,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00240,Länsi-Pasila (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),68.00008047490543,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00240,Länsi-Pasila (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),73.06682040227095,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00240,Länsi-Pasila (Helsinki),Helsinki,91,Työttömät (med.),114.9935023909913,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00240,Länsi-Pasila (Helsinki),Helsinki,91,Kokonaislukema (med.),85.35346775605588,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00250,Taka-Töölö (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),45.60673921961758,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00250,Taka-Töölö (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),76.77772926048415,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00250,Taka-Töölö (Helsinki),Helsinki,91,Työttömät (med.),96.65689597617336,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00250,Taka-Töölö (Helsinki),Helsinki,91,Kokonaislukema (med.),73.01378815209169,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00260,Keski-Töölö (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),56.21919214286672,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00260,Keski-Töölö (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),74.06918099100777,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00260,Keski-Töölö (Helsinki),Helsinki,91,Työttömät (med.),96.69804065931991,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00260,Keski-Töölö (Helsinki),Helsinki,91,Kokonaislukema (med.),75.6621379310648,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00270,Pohjois-Meilahti (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),52.86361041364399,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00270,Pohjois-Meilahti (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),70.5996034713096,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00270,Pohjois-Meilahti (Helsinki),Helsinki,91,Työttömät (med.),105.1222964834191,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00270,Pohjois-Meilahti (Helsinki),Helsinki,91,Kokonaislukema (med.),76.1951701227909,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00280,Ruskeasuo (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),48.49659671143962,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00280,Ruskeasuo (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),92.88143260230089,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00280,Ruskeasuo (Helsinki),Helsinki,91,Työttömät (med.),116.8036305476563,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00280,Ruskeasuo (Helsinki),Helsinki,91,Kokonaislukema (med.),86.06055328713228,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00290,Meilahden sairaala-alue (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),66.81760236396373,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00290,Meilahden sairaala-alue (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),46.58545515140075,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00290,Meilahden sairaala-alue (Helsinki),Helsinki,91,Työttömät (med.),96.62477184466238,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00290,Meilahden sairaala-alue (Helsinki),Helsinki,91,Kokonaislukema (med.),70.00927645334228,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00300,Pikku Huopalahti (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),85.69637866859672,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00300,Pikku Huopalahti (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),74.56533355649825,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00300,Pikku Huopalahti (Helsinki),Helsinki,91,Työttömät (med.),132.3830597980922,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00300,Pikku Huopalahti (Helsinki),Helsinki,91,Kokonaislukema (med.),97.54825734106241,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00310,Kivihaka (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),52.51097916223084,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00310,Kivihaka (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),61.81558546349871,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00310,Kivihaka (Helsinki),Helsinki,91,Työttömät (med.),129.6981900403829,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00310,Kivihaka (Helsinki),Helsinki,91,Kokonaislukema (med.),81.34158488870416,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00320,Etelä-Haaga (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),50.71382755979873,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00320,Etelä-Haaga (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),71.4197247960295,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00320,Etelä-Haaga (Helsinki),Helsinki,91,Työttömät (med.),101.4931811300386,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00320,Etelä-Haaga (Helsinki),Helsinki,91,Kokonaislukema (med.),74.54224449528894,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00330,Munkkiniemi (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),45.99343710383887,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00330,Munkkiniemi (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),61.04533095141318,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00330,Munkkiniemi (Helsinki),Helsinki,91,Työttömät (med.),76.66043709350606,90,Helsingin kaupunki
